job_id	model_key	condition	val_acc	test_acc	val_f1	test_f1	log
541945	roberta	B1 (raw)	0.4248	0.411	0.3639	0.3535	candidate/logs/slurm_new_541945.log
541945	roberta	D1 (debias_vl)	0.4646	0.4541	0.4509	0.4418	candidate/logs/slurm_new_541945.log
541945	roberta	D2 (CBDC)	0.4626	0.4442	0.4612	0.4451	candidate/logs/slurm_new_541945.log
541945	roberta	D3 (debias_vl->CBDC)	0.4377	0.4231	0.3744	0.3615	candidate/logs/slurm_new_541945.log
542124	roberta	B1 (raw)	0.419	0.4318	0.3604	0.3747	candidate/logs/slurm_new_542124.log
542124	roberta	D1 (debias_vl)	0.4568	0.4709	0.4437	0.4577	candidate/logs/slurm_new_542124.log
542124	roberta	D2 (CBDC)	0.4743	0.4709	0.4753	0.4715	candidate/logs/slurm_new_542124.log
542124	roberta	D2.5 (CBDC no-label-select)	0.4588	0.4601	0.4608	0.4613	candidate/logs/slurm_new_542124.log
542124	roberta	D3 (debias_vl->CBDC)	0.4328	0.4349	0.3718	0.375	candidate/logs/slurm_new_542124.log
542164	roberta	B1 (raw)	0.419	0.4318	0.3604	0.3747	candidate/logs/slurm_new_542164.log
542164	roberta	D1 (debias_vl)	0.4568	0.4709	0.4437	0.4577	candidate/logs/slurm_new_542164.log
542164	roberta	D2 (CBDC)	0.4716	0.4709	0.4732	0.4719	candidate/logs/slurm_new_542164.log
542164	roberta	D2.5 (CBDC no-label-select)	0.4544	0.4513	0.4549	0.4503	candidate/logs/slurm_new_542164.log
542164	roberta	D3 (debias_vl->CBDC)	0.433	0.4363	0.3721	0.3764	candidate/logs/slurm_new_542164.log
542190	roberta	B1 (raw)	0.419	0.4318	0.3604	0.3747	candidate/logs/slurm_new_542190.log
542190	roberta	D1 (debias_vl)	0.4568	0.4709	0.4437	0.4577	candidate/logs/slurm_new_542190.log
542190	roberta	D2 (CBDC)	0.4663	0.474	0.4686	0.4758	candidate/logs/slurm_new_542190.log
542190	roberta	D2.5 (CBDC no-label-select)	0.4512	0.4544	0.4385	0.4411	candidate/logs/slurm_new_542190.log
542190	roberta	D3 (debias_vl->CBDC)	0.4326	0.4349	0.3713	0.375	candidate/logs/slurm_new_542190.log
542203	bert	B1 (raw)	0.426	0.4287	0.3738	0.3785	candidate/logs/slurm_new_542203.log
542203	bert	D1 (debias_vl)	0.4816	0.481	0.4804	0.4782	candidate/logs/slurm_new_542203.log
542203	bert	D2 (CBDC)	0.4706	0.4621	0.4655	0.4574	candidate/logs/slurm_new_542203.log
542203	bert	D2.5 (CBDC no-label-select)	0.4607	0.4581	0.4106	0.4074	candidate/logs/slurm_new_542203.log
542203	bert	D3 (debias_vl->CBDC)	0.4207	0.429	0.3823	0.393	candidate/logs/slurm_new_542203.log
542240	bertweet	B1 (raw)	0.3117	0.3305	0.2798	0.3	candidate/logs/slurm_new_542240.log
542240	bertweet	D1 (debias_vl)	0.343	0.3483	0.3392	0.3441	candidate/logs/slurm_new_542240.log
542240	bertweet	D2 (CBDC)	0.3207	0.3373	0.3107	0.3269	candidate/logs/slurm_new_542240.log
542240	bertweet	D2.5 (CBDC no-label-select)	0.3302	0.343	0.3212	0.3349	candidate/logs/slurm_new_542240.log
542240	bertweet	D3 (debias_vl->CBDC)	0.3261	0.3444	0.2941	0.3131	candidate/logs/slurm_new_542240.log
542338	roberta	B1 (raw)	0.419	0.4318	0.3604	0.3747	candidate/logs/slurm_new_542338.log
542338	roberta	D1 (debias_vl)	0.4568	0.4709	0.4437	0.4577	candidate/logs/slurm_new_542338.log
542338	roberta	D2 (CBDC)	0.4728	0.4754	0.4737	0.476	candidate/logs/slurm_new_542338.log
542338	roberta	D3 (debias_vl->CBDC)	0.4311	0.4369	0.371	0.3777	candidate/logs/slurm_new_542338.log
542339	bert-uncased	B1 (raw)	0.3993	0.3812	0.3267	0.3081	candidate/logs/slurm_new_542339.log
