job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
537752	roberta	probe	B1 (raw)	negative	0.6602	0.6958	0.6775	1167	candidate/logs/slurm_new_537752.log
537752	roberta	probe	B1 (raw)	neutral	0.6319	0.6493	0.6404	1668	candidate/logs/slurm_new_537752.log
537752	roberta	probe	B1 (raw)	positive	0.736	0.6737	0.7034	1287	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D1 (debias_vl)	negative	0.653	0.7207	0.6851	1167	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D1 (debias_vl)	neutral	0.6407	0.6349	0.6378	1668	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D1 (debias_vl)	positive	0.7409	0.6799	0.7091	1287	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D2 (CBDC)	negative	0.6603	0.6829	0.6714	1167	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D2 (CBDC)	neutral	0.6232	0.6583	0.6402	1668	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D2 (CBDC)	positive	0.7398	0.6628	0.6992	1287	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D3 (debias_vl->CBDC)	negative	0.6623	0.6924	0.677	1167	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D3 (debias_vl->CBDC)	neutral	0.6357	0.6391	0.6374	1668	candidate/logs/slurm_new_537752.log
537752	roberta	probe	D3 (debias_vl->CBDC)	positive	0.7233	0.6884	0.7054	1287	candidate/logs/slurm_new_537752.log
541350	roberta	probe	B1 (raw)	negative	0.6602	0.6958	0.6775	1167	candidate/logs/slurm_new_541350.log
541350	roberta	probe	B1 (raw)	neutral	0.6319	0.6493	0.6404	1668	candidate/logs/slurm_new_541350.log
541350	roberta	probe	B1 (raw)	positive	0.736	0.6737	0.7034	1287	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D1 (debias_vl)	negative	0.653	0.7207	0.6851	1167	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D1 (debias_vl)	neutral	0.6407	0.6349	0.6378	1668	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D1 (debias_vl)	positive	0.7409	0.6799	0.7091	1287	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D2 (CBDC)	negative	0.6817	0.6624	0.6719	1167	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D2 (CBDC)	neutral	0.6167	0.6876	0.6502	1668	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D2 (CBDC)	positive	0.742	0.6503	0.6932	1287	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D3 (debias_vl->CBDC)	negative	0.6515	0.7001	0.6749	1167	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D3 (debias_vl->CBDC)	neutral	0.6332	0.6313	0.6322	1668	candidate/logs/slurm_new_541350.log
541350	roberta	probe	D3 (debias_vl->CBDC)	positive	0.7286	0.6822	0.7047	1287	candidate/logs/slurm_new_541350.log
541945	roberta	prototype	B1 (raw)	negative	0.4778	0.461	0.4693	1167	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	B1 (raw)	neutral	0.4914	0.0342	0.0639	1668	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	B1 (raw)	positive	0.3816	0.8539	0.5275	1287	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D1 (debias_vl)	negative	0.4792	0.4542	0.4663	1167	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D1 (debias_vl)	neutral	0.5085	0.2344	0.3209	1668	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D1 (debias_vl)	positive	0.4232	0.7389	0.5382	1287	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D2 (CBDC)	negative	0.37	0.6744	0.4778	1167	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D2 (CBDC)	neutral	0.4653	0.2974	0.3628	1668	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D2 (CBDC)	positive	0.5899	0.4258	0.4946	1287	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D3 (debias_vl->CBDC)	negative	0.4487	0.5621	0.499	1167	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D3 (debias_vl->CBDC)	neutral	0.4805	0.0222	0.0424	1668	candidate/logs/slurm_new_541945.log
541945	roberta	prototype	D3 (debias_vl->CBDC)	positive	0.4069	0.8166	0.5432	1287	candidate/logs/slurm_new_541945.log
542124	roberta	prototype	B1 (raw)	negative	0.5083	0.5185	0.5134	1001	candidate/logs/slurm_new_542124.log
