section,name,model,features_or_components,method,tuned,data,n_models,epochs,val_acc,val_f1_macro,test_acc,test_f1_macro,elapsed_s
classical,LightGBM__tfidf_bigram_all,LightGBM,tfidf_bigram_all,,no,cleaned,,,0.733,0.7357,0.7414,0.744,13.26
classical,LightGBM__tfidf_bigram_vader,LightGBM,tfidf_bigram_vader,,no,cleaned,,,0.7268,0.7299,0.738,0.7408,14.8
classical,LightGBM__tfidf_bigram_afinn,LightGBM,tfidf_bigram_afinn,,no,cleaned,,,0.7341,0.7365,0.7349,0.7371,15.22
classical,MLP__tfidf_bigram_vader,MLP,tfidf_bigram_vader,,no,cleaned,,,0.7304,0.7334,0.7323,0.7362,38.67
classical,MLP__tfidf_bigram_afinn,MLP,tfidf_bigram_afinn,,no,cleaned,,,0.7392,0.7414,0.7343,0.7362,37.88
classical,MLP__tfidf_bigram_all,MLP,tfidf_bigram_all,,no,cleaned,,,0.7374,0.7371,0.7267,0.7277,42.21
classical,LightGBM__tfidf_bigram,LightGBM,tfidf_bigram,,no,cleaned,,,0.7141,0.7164,0.717,0.7196,8.37
classical,LogisticRegression__tfidf_bigram_all,LogisticRegression,tfidf_bigram_all,,no,cleaned,,,0.7028,0.7067,0.7111,0.715,0.83
classical,LightGBM__tfidf_bigram_pos_broad,LightGBM,tfidf_bigram_pos_broad,,no,cleaned,,,0.7079,0.7108,0.7122,0.7149,16.27
classical,LightGBM__tfidf_unigram,LightGBM,tfidf_unigram,,no,cleaned,,,0.7148,0.7171,0.7105,0.7129,6.24
classical,LogisticRegression__tfidf_bigram_vader,LogisticRegression,tfidf_bigram_vader,,no,cleaned,,,0.6981,0.7018,0.7074,0.7112,0.91
classical,MLP__tfidf_unigram,MLP,tfidf_unigram,,no,cleaned,,,0.6915,0.6958,0.7015,0.7055,39.37
classical,MLP__tfidf_bigram,MLP,tfidf_bigram,,no,cleaned,,,0.6893,0.6933,0.6947,0.699,46.84
classical,LogisticRegression__tfidf_unigram,LogisticRegression,tfidf_unigram,,no,cleaned,,,0.6919,0.6962,0.6944,0.6982,0.58
classical,LogisticRegression__tfidf_bigram_afinn,LogisticRegression,tfidf_bigram_afinn,,no,cleaned,,,0.6948,0.6988,0.6893,0.6937,0.59
classical,MLP__tfidf_bigram_pos_broad,MLP,tfidf_bigram_pos_broad,,no,cleaned,,,0.6824,0.685,0.6842,0.6871,40.73
classical,LogisticRegression__tfidf_bigram_pos_broad,LogisticRegression,tfidf_bigram_pos_broad,,no,cleaned,,,0.6701,0.6736,0.6684,0.6725,0.62
classical,LogisticRegression__tfidf_bigram,LogisticRegression,tfidf_bigram,,no,cleaned,,,0.6613,0.6652,0.6658,0.6699,0.81
classical,LinearSVC__tfidf_bigram_vader,LinearSVC,tfidf_bigram_vader,,no,cleaned,,,0.6588,0.6628,0.6607,0.6652,0.51
classical,LinearSVC__tfidf_bigram_all,LinearSVC,tfidf_bigram_all,,no,cleaned,,,0.6595,0.6634,0.6607,0.6651,0.74
classical,LinearSVC__tfidf_unigram,LinearSVC,tfidf_unigram,,no,cleaned,,,0.6657,0.6707,0.6559,0.66,0.41
classical,NaiveBayes(MultinomialNB)__tfidf_bigram_pos_broad,NaiveBayes(MultinomialNB),tfidf_bigram_pos_broad,,no,cleaned,,,0.637,0.6314,0.6613,0.6566,0.0
classical,LinearSVC__tfidf_bigram_afinn,LinearSVC,tfidf_bigram_afinn,,no,cleaned,,,0.6482,0.6527,0.6432,0.6471,0.44
classical,NaiveBayes(MultinomialNB)__tfidf_bigram,NaiveBayes(MultinomialNB),tfidf_bigram,,no,cleaned,,,0.6381,0.6317,0.6483,0.6426,0.0
classical,LinearSVC__tfidf_bigram_pos_broad,LinearSVC,tfidf_bigram_pos_broad,,no,cleaned,,,0.6366,0.6407,0.6321,0.6358,0.51
classical,NaiveBayes(MultinomialNB)__tfidf_unigram,NaiveBayes(MultinomialNB),tfidf_unigram,,no,cleaned,,,0.633,0.6234,0.6429,0.6336,0.0
classical,LinearSVC__tfidf_bigram,LinearSVC,tfidf_bigram,,no,cleaned,,,0.6322,0.6355,0.6285,0.6321,0.5
classical,NaiveBayes(GaussianNB)__tfidf_bigram_all,NaiveBayes(GaussianNB),tfidf_bigram_all,,no,cleaned,,,0.5016,0.4903,0.4992,0.4849,4.17
classical,NaiveBayes(GaussianNB)__tfidf_bigram_afinn,NaiveBayes(GaussianNB),tfidf_bigram_afinn,,no,cleaned,,,0.5002,0.4883,0.4992,0.4847,3.91
